page,component,level,hierarchy,available,status
Our Property,N/A,1,Our Property,False,SKIPPED: Page had no components defined.
Weddings,M1-Inside Hero,1,Weddings,False,SKIPPED: Component not available.
Weddings,A2-Modular Navigation,1,Weddings,False,SKIPPED: Component not available.
Weddings,L3-Intro with awards,1,Weddings,False,SKIPPED: Component not available.
Weddings,L24-Amenities Icon,1,Weddings,False,SKIPPED: Component not available.
Weddings,L10-2 Column Snippet,1,Weddings,False,SKIPPED: Component not available.
Weddings,L13-Full Width Image CTA,1,Weddings,False,SKIPPED: Component not available.
Weddings,L31-Video + Quotes,1,Weddings,False,SKIPPED: Component not available.
Weddings,L30-inside Page Gallery,1,Weddings,False,SKIPPED: Component not available.
Weddings,L15-Inside Page FAQs,1,Weddings,False,SKIPPED: Component not available.
Meetings and Events,M1-Inside Hero,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,A2-Modular Navigation,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,L3-Intro with awards,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,L24-Amenities Icon,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,L10-2 Column Snippet,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,L13-Full Width Image CTA,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,L31-Video + Quotes,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,L30-inside Page Gallery,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,L15-Inside Page FAQs,1,Meetings and Events,False,SKIPPED: Component not available.
Guest Rooms,Hero banner 1,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,Guest Rooms Module Navigation,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,l1-l8 Feature Left Image - 2,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L24 Amenities section 3,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L4 Zig zag feature box with gallery,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,Faqs-with-right-accordion,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,M1-Inside Hero,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,A2-Modular Navigation,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L1-Image Intro,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L24-Amenities Icon,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L4-Rooms/Venue Snippet,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L15-Inside Page FAQs,1,Guest Rooms,False,SKIPPED: Component not available.
Amenities,M1-Inside Hero,1,Amenities,False,SKIPPED: Component not available.
Amenities,L2-Content Only Intro,1,Amenities,False,SKIPPED: Component not available.
Amenities,L24-Amenities Icon,1,Amenities,False,SKIPPED: Component not available.
Amenities,L5-Rooms/Venue Snippet,1,Amenities,False,SKIPPED: Component not available.
Amenities,L8-Feature Snippet,1,Amenities,False,SKIPPED: Component not available.
Amenities,L24A-Amenities Icon,1,Amenities,False,SKIPPED: Component not available.
Amenities,L11-3 Column Snippet,1,Amenities,False,SKIPPED: Component not available.
Amenities,L15-Inside Page FAQs,1,Amenities,False,SKIPPED: Component not available.
Dining,M1-Inside Hero,1,Dining,False,SKIPPED: Component not available.
Dining,L1-Image Intro,1,Dining,False,SKIPPED: Component not available.
Dining,L5-Rooms/Venue Snippet,1,Dining,False,SKIPPED: Component not available.
Dining,L15-Inside Page FAQs,1,Dining,False,SKIPPED: Component not available.
Explore Ohio,M1-Inside Hero,1,Explore Ohio,False,SKIPPED: Component not available.
Explore Ohio,L1-Image Intro,1,Explore Ohio,False,SKIPPED: Component not available.
